"state","county","FIPS","dem_cand_votes_08","dem_percent_08","dem_cand_votes_12","dem_percent_12","dem_cand_votes_16","dem_percent_16"
"New York","Chautauqua",36013,29129,49.5627169400395,22463,42.5017028683872,19091,35.2011653206476
"New York","Clinton",36019,20216,60.6831962538272,18072,58.9509394572025,15059,46.9054664382495
"New York","Erie",36029,256299,57.9881670192427,227325,54.883569333285,215456,50.8600767187961
"New York","Essex",36031,10390,55.8872572750255,9368,56.0387629359335,7762,45.0807294691602
"New York","Franklin",36033,10571,60.4195244627343,9532,59.8217647797163,7297,43.045068428504
"New York","Monroe",36055,207225,58.2542694497154,185916,55.6946553908925,188592,54.2258259294402
"New York","New York",36061,572126,85.7411756242966,486172,81.4048929469029,579013,86.5569207356725
"New York","Oneida",36065,43506,46.1293777103899,39031,45.0184544405998,33743,37.0765528683976
"New York","Otsego",36077,13570,51.990345197502,11530,47.76502754878,10451,40.7160666978339
"New York","Richmond",36085,79311,47.6399567515618,75557,49.0092041850177,74143,40.9720380194518
"New York","St. Lawrence",36089,23706,57.4802385917269,20488,55.0885967035035,16488,42.1063384238214
"New York","Saratoga",36091,56645,50.9145656374994,50998,48.3347549995261,50913,44.6237313092713
"New York","Warren",36113,16281,50.5526920449606,14276,48.2656028129015,13091,41.6804635761589
"North Carolina","Ashe",37009,4872,37.2790573111944,4116,32.6407613005551,3500,26.072705601907
"North Carolina","Bertie",37015,6365,65.195124449452,6695,66.136520794231,5778,61.8166256552905
"North Carolina","Catawba",37035,25656,36.9411527551799,24069,34.5813996925332,21216,29.3237135630468
"North Carolina","Currituck",37053,3737,33.6606016933886,3562,31.5109695682944,2913,22.9931328439498
"North Carolina","Dare",37055,8074,44.7362588652482,7393,41.131634583287,7222,36.8300270284053
"North Carolina","Edgecombe",37065,17403,67.1153104512148,18310,67.8852142963073,16224,65.1932813630154
"North Carolina","Iredell",37097,27318,37.3390557939914,26076,34.1465330976233,24734,29.9562779318614
"North Carolina","Jackson",37099,8766,51.974386339381,8095,48.4701514879349,7713,41.2173355421365
"North Carolina","Lincoln",37109,11713,32.7197050114532,11024,29.9768864717879,9897,24.728281238288
"North Carolina","Moore",37125,17624,38.8810448288034,16505,35.5596251211893,16329,33.5352830033681
"North Carolina","Perquimans",37143,2772,42.6395939086294,2759,41.4762477450391,2319,34.5706618962433
"North Carolina","Randolph",37151,16414,28.2284554663181,14773,24.3317137445442,13194,20.4320557491289
"North Carolina","Rockingham",37157,17255,41.4664039219456,16351,38.9124226558782,14228,33.653436775628
"North Carolina","Rowan",37159,23391,37.9970760233918,22650,36.3493388111439,19400,30.138731376905
"North Carolina","Sampson",37163,11836,45.4566402949535,11566,44.1888897379079,10547,40.678031471768
"North Carolina","Stokes",37169,6875,31.6193717518282,6018,27.8366251908044,4665,20.6873614190687
"North Carolina","Vance",37181,13166,63.0827463945187,13323,63.8870240721205,12229,61.2153977073635
"North Carolina","Wake",37183,250891,56.7312236430033,267262,54.9439073077769,302736,57.3772231740785
"North Carolina","Wilson",37195,19652,52.8407410394988,20875,53.3764606612289,19663,51.5615576242297
"North Carolina","Yancey",37199,4486,46.1665122980344,3981,42.1225267167495,3196,32.0883534136546
"North Dakota","Cavalier",38019,930,43.6619718309859,818,39.5360077332044,476,23.728813559322
"North Dakota","Foster",38031,687,41.6111447607511,607,36.0879904875149,347,20.1861547411286
"North Dakota","Hettinger",38041,406,30.1186943620178,313,22.9809104258443,168,12.962962962963
"North Dakota","LaMoure",38045,868,38.7327086122267,740,33.7283500455788,502,23.3379823337982
"North Dakota","McLean",38055,1867,39.4214527027027,1670,33.8193600648036,1081,20.3386641580433
"North Dakota","Nelson",38063,907,51.7694063926941,767,45.7091775923719,536,31.2172393709959
"North Dakota","Pembina",38067,1494,45.1768974901724,1253,38.494623655914,681,21.5984776403425
"North Dakota","Richland",38077,3513,46.449821499405,3198,42.0070931301721,2064,27.186512118019
"Ohio","Athens",39009,20722,66.6345102578944,18307,66.238512193357,16370,55.5989539109466
"Ohio","Carroll",39019,6423,46.0331111588906,5543,41.7961091841351,3154,24.1242160012238
"Ohio","Delaware",39041,36653,39.660881232687,37292,37.7598444730207,40872,39.3529751588677
"Ohio","Erie",39043,23148,56.1449465182275,21793,55.3051643192488,16057,42.7297887061579
"Ohio","Greene",39057,33540,40.1248968165668,32256,38.6345670140137,28943,35.3575704268367
"Ohio","Harrison",39067,3683,47.2967766790805,2950,41.3107407926061,1688,23.8451758722983
"Ohio","Hocking",39073,6231,48.3210546723536,6157,48.3736643620365,3775,29.4048917276834
"Ohio","Knox",39083,11014,39.0138500230243,10470,36.8817810342398,8171,28.4832851117231
"Ohio","Licking",39089,33896,41.1944143990861,34201,42.0211328172994,27376,33.0783823298413
"Ohio","Marion",39101,12870,44.3533101285453,12504,45.7151213805206,7928,30.1192918471241
"Ohio","Ottawa",39123,12049,52.2302657245654,11503,51.2246170288564,8285,37.289585021154
"Ohio","Paulding",39125,4165,42.634865390521,3538,38.7598597721297,2093,23.1347407980546
"Ohio","Vinton",39163,2463,43.6238044633369,2436,44.5582586427657,1351,24.5547073791349
"Ohio","Washington",39167,12368,41.3203260724308,11651,39.4962541103088,8026,26.8967828418231
"Oklahoma","Alfalfa",40003,411,16.885784716516,322,15.4584733557369,216,9.56598759964571
"Oklahoma","Carter",40019,5603,29.7336022075992,4908,28.664875598645,4002,21.5927484622855
"Oklahoma","Cherokee",40021,7194,43.9194139194139,6144,42.9470152383615,5456,33.086719223772
"Oklahoma","Cleveland",40027,39681,37.9977018098248,34771,37.0349462651911,38829,35.4764732754683
"Oklahoma","Delaware",40041,5085,33.1011587032938,4196,29.3919865508546,3311,21.0677017052685
"Oklahoma","Johnston",40069,1249,31.5643164013141,1137,30.0316957210777,786,19.5619711299154
"Oklahoma","Love",40085,1257,32.6833073322933,1034,29.7982708933718,735,19.3982581155978
"Oklahoma","Noble",40103,1174,23.2245301681503,1143,24.6814942776938,901,18.4706847068471
"Oklahoma","Pushmataha",40127,1265,28.2807958864297,1043,25.2542372881356,748,16.6852554093241
"Oklahoma","Rogers",40131,10772,27.9683240295989,9148,24.9257513419253,7902,19.3382604865156
"Oklahoma","Stephens",40137,4538,23.9699978871752,3939,23.3810173918205,3086,17.2363717605004
"Oregon","Benton",41003,29901,64.3336632385215,27776,61.9972322664167,29193,59.8793920374131
"Oregon","Clackamas",41005,103476,53.92801676065,95493,50.4367988506961,102095,47.6992510710665
"Oregon","Columbia",41009,13390,54.0616925064599,12004,50.2785340314136,10167,38.1959576226614
"Oregon","Curry",41015,5230,42.4099902692183,4625,39.6043843123823,4300,34.0972167155658
"Oregon","Josephine",41033,17412,41.4088325524983,14953,37.1613897311,13453,30.1907540394973
